Gene,Description,Log2FC,HGPS_mean,Control_mean,Welch_raw,Welch_log2,MannWhitney,OLS_batch,Subgroup,Welch_raw_q,Welch_log2_q,MannWhitney_q,OLS_batch_q,Subgroup_q,Robustness
ACTB,Beta-actin — housekeeping,0.009,3.003,2.977,0.8698942329429494,0.8472934161726248,0.5707503880581739,0.8834579772332042,0.30142618772749236,0.8698942329429494,0.865504845125814,0.9034466106033007,0.9953882305003825,0.6892130694398391,NS
GAPDH,Glyceraldehyde-3-phosphate dehydrogenase — housekeeping,-0.032,7.305,7.494,0.264502526075101,0.24544886129691448,0.14046504815835495,0.30546587130357045,0.5856593997753428,0.8698942329429494,0.865504845125814,0.5618601926334198,0.9953882305003825,0.780879199700457,NS
TBP,TATA-binding protein — housekeeping,0.007,3.63,3.608,0.8587021822205805,0.865504845125814,0.9698499769931556,0.9953882305003825,0.34460653471991953,0.8698942329429494,0.865504845125814,0.9698499769931556,0.9953882305003825,0.6892130694398391,NS
HPRT1,Hypoxanthine phosphoribosyltransferase 1 — housekeeping,0.017,3.445,3.394,0.6717579875795312,0.6880823556868562,0.6775849579524755,0.6879728737798595,0.92769231170055,0.8698942329429494,0.865504845125814,0.9034466106033007,0.9953882305003825,0.92769231170055,NS
