Gene,p_E1_publicado,NNLS/ref-drop,NNLS/las-12,scores/ref-drop,scores/las-12,veredicto
OPRM1,0.3977272901185785,0.08009847205015211,0.08009847205015254,0.03009346529051843,0.030093465290531453,inestable 2/4
OPRK1,0.68417267287717,0.835549683419389,0.8355496834193904,0.7964139746772407,0.7964139746773398,muere 0/4
OPRD1,0.6978078158284652,0.6551965184389782,0.6551965184389889,0.9304048494086103,0.9304048494085922,muere 0/4
TACR1,0.0664180072149868,0.11741400945323771,0.11741400945323653,0.03884479848173352,0.038844798481747135,inestable 2/4
TAC1,0.6151691038160256,0.39296194089814174,0.39296194089814795,0.08024877092370454,0.08024877092372021,muere 0/4
PENK,0.7613885543573278,0.30486513953532396,0.30486513953532535,0.2497838719630282,0.24978387196304672,muere 0/4
POMC,0.7323783931911169,0.9282376306389394,0.928237630638941,0.9167005123730915,0.9167005123731506,muere 0/4
COL9A1,,0.020468188081802383,0.020468188081802008,0.011719186812717872,0.011719186812722656,SOBREVIVE 4/4
PTN,,0.046376216944135365,0.046376216944136676,0.0280767694681426,0.02807676946814994,SOBREVIVE 4/4
