Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
SHPRH,7.3268,5.4532,1.344,0.391,0.00051608,0.00776212,0.00279074,0.57388325,0.01130206,4
SIGIRR,79.5149,112.0387,0.71,-0.449,9.187e-05,0.00233915,0.00037738,0.816179,0.01132264,4
COX11,5.7397,10.3853,0.553,-0.457,0.00113723,0.0021642,0.00343389,0.53681325,0.01137607,4
ARFGAP2,14.9734,23.5969,0.635,-0.495,1.06e-06,0.00081306,0.00019717,0.34107567,0.01145329,4
BANF1,25.9153,48.664,0.533,-0.631,6e-08,2.489e-05,9.61e-06,0.63152163,0.01148323,4
ABTB1,64.809,122.462,0.529,-0.589,4.28e-06,9.564e-05,8.183e-05,1.0,0.01169635,4
TMEM160,4.4605,10.1479,0.44,-0.608,1.72e-06,5.598e-05,0.00115019,0.13112543,0.0117306,4
ZNF280D,7.1003,5.6245,1.262,0.225,0.08125509,0.12331952,0.02557631,0.04428548,0.01183306,3
TRIOBP,10.1439,14.4341,0.703,-0.432,0.00598092,0.00355797,0.04587508,0.35550187,0.01183656,4
MCL1,154.1495,264.1639,0.584,-0.518,8.23e-06,0.00049648,0.00134469,0.227454,0.01185358,4
ANKRD36,10.4982,6.8254,1.538,0.508,0.00072702,0.00059342,0.03363686,0.69133573,0.01213167,4
CRK,1.0194,1.9453,0.524,-0.484,2.626e-05,0.00112331,0.00023025,0.57388325,0.01225171,4
ENDOD1,20.6119,34.3847,0.599,-0.503,3.3e-07,0.00067317,3.539e-05,0.08278988,0.01242576,4
DAGLB,19.5513,34.584,0.565,-0.46,1.59e-06,0.00199092,7.384e-05,0.7949782,0.01244724,4
TRPM7,8.9203,7.9303,1.125,0.172,0.75262696,0.23664665,0.19251982,0.96729961,0.01247217,1
CCDC117,1.0733,1.7792,0.603,-0.466,0.00015449,0.0016468,0.00159225,0.21975591,0.01254753,4
IRF3,36.0894,54.1377,0.667,-0.482,5.11e-06,0.00111729,6.522e-05,0.65123214,0.01257273,4
STAB1,40.3938,60.4302,0.668,-0.459,7.869e-05,0.00191607,0.00043798,0.41673557,0.01257981,4
SPICE1,1.3619,0.7868,1.731,0.362,0.05856709,0.01344791,0.11400069,0.04012175,0.01258002,3
CDKL5,2.0317,1.387,1.465,0.355,0.01967021,0.01530686,0.01707771,0.816179,0.01260181,4
ACSL6,3.2367,2.0857,1.552,0.38,0.00033157,0.00965092,0.00274615,0.32701011,0.01280679,4
ZNF587,2.0621,4.2083,0.49,-0.342,0.0023648,0.02082884,0.01724271,0.11694111,0.01291039,4
LPCAT1,2.6388,4.565,0.578,-0.422,3.022e-05,0.00429657,0.00048034,0.07259907,0.01291465,4
