Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
CWC27,2.8257,2.3238,1.216,0.179,0.03728797,0.22043892,0.00087852,0.78870606,0.055085,2
CELF4,1.3406,0.8484,1.58,0.371,0.00429981,0.01143109,0.01849121,0.55520734,0.0553119,3
CCNY,14.8861,24.5144,0.607,-0.473,0.00542347,0.00151708,0.08433418,0.73226424,0.05556493,2
MSN,54.1975,87.0277,0.623,-0.551,4.326e-05,0.0002151,0.00307252,0.90209945,0.05562069,3
EXOC1,6.5254,5.6898,1.147,0.148,0.30521035,0.31078596,0.61595313,0.07259907,0.05563495,0
FBXO21,4.1365,5.8382,0.709,-0.353,2.226e-05,0.01616587,0.00204699,0.71170446,0.05569737,3
EIF3A,41.3415,60.935,0.678,-0.45,6.18e-06,0.00230197,0.00030101,0.6120509,0.05577373,3
RCAN3,3.5081,5.02,0.699,-0.307,0.00939813,0.03714864,0.002836,0.94552275,0.05599194,3
SNX10,2.4624,4.648,0.53,-0.565,0.00012472,0.00018099,0.02250345,0.32701011,0.05602648,3
USP48,8.3293,12.2571,0.68,-0.516,0.000427,0.00051865,0.04030257,0.90209945,0.05641661,3
KLF1,1.6223,1.2082,1.343,0.182,0.02406258,0.2123953,0.01528635,0.81049051,0.05642987,2
HNRNPU,71.8106,126.3745,0.568,-0.38,6e-07,0.0098961,6.001e-05,0.05129462,0.05688979,3
POTEF,2.0343,1.1928,1.705,0.395,0.00569583,0.00718107,0.01148276,0.57388325,0.05701933,3
PLIN3,9.3907,14.4614,0.649,-0.446,0.00020592,0.00251728,0.01319492,0.85894553,0.05708691,3
SMOX,11.4211,19.0694,0.599,-0.416,3.167e-05,0.00478928,0.00322292,0.23864024,0.05716192,3
TMEM104,8.6672,10.7581,0.806,-0.248,0.00731107,0.08942252,0.0092843,0.96729961,0.05717434,2
WDR13,18.2222,25.9302,0.703,-0.383,1.093e-05,0.00924501,3.694e-05,0.41673557,0.05742842,3
KBTBD2,4.2093,7.6643,0.549,-0.473,0.00388772,0.00154941,0.02309099,0.28697196,0.05754545,3
PSD4,85.883,119.3985,0.719,-0.343,3.19e-06,0.0193719,4.287e-05,0.88048261,0.05788466,3
ABCC10,11.9875,15.1029,0.794,-0.295,0.00360194,0.04469603,0.00434176,0.28697196,0.05804884,3
PAK1,10.5753,19.9002,0.531,-0.478,4.5e-07,0.00122761,0.00185301,0.46626286,0.05814286,3
ZNF765,4.6855,3.3785,1.387,0.325,0.00048623,0.02679754,0.00194778,0.385418,0.05818044,3
ANKMY1,24.4015,31.5187,0.774,-0.272,0.00091529,0.06295415,0.00113215,0.69133573,0.05818084,2
L1CAM,2.0494,1.2924,1.586,0.407,0.00011067,0.00560165,0.01849641,0.92378602,0.05818427,3
CDK5RAP3,36.844,47.0118,0.784,-0.248,0.00520539,0.09019668,0.004478,0.63152163,0.05828347,2
BCL6,27.5565,54.0015,0.51,-0.461,5.11e-06,0.00196116,0.00070348,0.53681325,0.05831976,3
DSE,7.5446,12.2698,0.615,-0.461,0.00316783,0.00199606,0.26429692,0.17677365,0.05836625,2
PMS2P4,2.7536,1.3183,2.089,0.348,0.00013435,0.01751667,0.02720031,0.04653016,0.05841538,4
MAP7D1,23.6163,34.9179,0.676,-0.509,1.281e-05,0.00059017,0.00046295,0.63152163,0.05847365,3
NUFIP2,6.5932,10.406,0.634,-0.421,0.00495416,0.00466106,0.14280054,0.77391449,0.05847873,2
OAZ2,2.3649,5.1773,0.457,-0.522,0.00219369,0.00053796,0.02309099,0.88048261,0.0589434,3
GBP4,6.1179,5.2671,1.162,0.166,0.21469379,0.25481621,0.06734826,0.85894553,0.05913337,0
BCL2L1,4.9198,9.4456,0.521,-0.374,7.696e-05,0.01178194,0.00159342,0.50091734,0.05935635,3
SGMS1,3.1834,2.9593,1.076,0.061,0.6636604,0.67542909,0.40593271,0.88048261,0.05939391,0
DGCR2,19.6461,29.8507,0.658,-0.43,0.00011435,0.00362925,0.00102001,0.67117575,0.05966215,3
TBC1D3P2,1.1277,0.52,2.169,0.334,0.00045845,0.0225806,0.00412663,0.94370094,0.05969505,3
TRAM2,1.7778,2.7111,0.656,-0.232,0.08844749,0.11518753,0.05356163,0.51871531,0.05970697,0
PPP1R2,18.9086,26.159,0.723,-0.339,0.00013894,0.02081089,0.00580199,0.18622027,0.05970977,3
FOS,38.9664,89.9143,0.433,-0.565,4e-08,0.00016811,0.00055614,0.6120509,0.05972062,3
SNORA48,153.7698,115.7879,1.328,0.196,0.33467034,0.17930645,0.79777337,0.05641308,0.05972346,0
LRG1,3.571,9.0508,0.395,-0.48,0.00041018,0.00141527,0.00173322,0.41673557,0.05991761,3
KDM6A,23.7119,25.7325,0.921,-0.15,0.45242862,0.30535029,0.02493422,0.96729961,0.05998371,1
KIF13B,9.9571,12.9345,0.77,-0.336,0.00067273,0.02212707,0.00115192,0.88048261,0.059994,3
ZNF480,3.3354,2.4379,1.368,0.245,0.00862735,0.09323775,0.00365737,0.71170446,0.05999959,2
PPP2R5A,17.962,28.0373,0.641,-0.385,1.574e-05,0.00875619,0.00057676,1.0,0.06006157,3
CYP1A2,1.907,0.797,2.393,0.427,2.17e-05,0.00371736,0.00037725,0.95498307,0.06008935,3
CD63,22.8741,43.5988,0.525,-0.578,1.01e-06,0.00011395,0.00078306,0.46626286,0.06009577,3
TXLNA,3.0074,4.2538,0.707,-0.338,0.00024089,0.02115571,7.537e-05,0.4009022,0.06025995,3
BSDC1,7.9262,10.312,0.769,-0.299,0.00136962,0.0412133,0.00146424,0.88048261,0.0602622,3
FPR2,11.7363,36.7871,0.319,-0.523,4.741e-05,0.00055633,0.00360029,0.77391449,0.06032992,3
ZGPAT,7.5237,10.1001,0.745,-0.207,0.00664261,0.15635586,0.00769121,0.02546007,0.06038047,3
AP1G2,33.7426,40.0655,0.842,-0.166,0.00588457,0.25553009,0.00141529,0.90209945,0.06040161,2
ZNF586,33.7125,47.5135,0.71,-0.345,0.00024596,0.01871419,0.00365737,0.94552275,0.06066075,3
RNF135,7.4588,11.76,0.634,-0.472,9.6e-07,0.00138073,0.00012773,0.77391449,0.06068623,3
ZNF720,4.6656,3.599,1.296,0.17,0.00083194,0.24328764,0.00606929,0.13451295,0.06098843,2
ZNF626,4.0349,2.3458,1.72,0.345,0.00094177,0.01854705,0.0286458,0.13451295,0.06119832,3
MSX2P1,0.5266,1.1503,0.458,-0.342,0.78490139,0.02103641,0.73764193,0.56294346,0.06127086,1
TCF12,19.4121,18.3757,1.056,0.041,0.82010768,0.77807359,0.49116165,0.71170446,0.06133266,0
PACSIN2,4.8096,9.6179,0.5,-0.414,0.00013236,0.00538566,0.0011924,0.86559401,0.06134795,3
SDAD1,6.2999,5.3063,1.187,0.199,0.19568055,0.17204225,0.0935625,0.17677365,0.06139715,0
RRN3,0.3648,0.8176,0.446,-0.282,0.13645168,0.05679067,0.46040648,0.16236986,0.06150881,0
CORO1B,30.9603,57.1772,0.541,-0.51,6e-08,0.00060493,2.65e-06,0.67117575,0.06167935,3
RAB12,3.2267,4.7198,0.684,-0.403,0.00849341,0.00634345,0.03574554,0.4009022,0.06169956,3
OCEL1,1.5239,3.7403,0.407,-0.451,5.361e-05,0.00230653,0.00043746,0.25044492,0.06209119,3
UBL3,0.8987,1.3181,0.682,-0.344,0.01077288,0.01914086,0.01264522,0.41305484,0.06221976,3
ANGEL1,5.6311,8.7326,0.645,-0.384,0.00013598,0.00961173,0.00074228,0.1960065,0.06222602,3
MED16,16.9987,26.8998,0.632,-0.452,2.52e-06,0.00219746,0.00055614,0.370282,0.06229775,3
BTBD10,5.3701,7.8672,0.683,-0.481,0.00578959,0.00124419,0.03982546,0.77391449,0.06238847,3
TNFSF12,22.9066,34.886,0.657,-0.497,7e-06,0.00078558,0.0011924,0.83750782,0.06248917,3
CAP1,26.6024,49.4009,0.538,-0.542,0.00235484,0.00031429,0.08793304,0.53681325,0.06255723,2
MLF2,8.8466,14.4657,0.612,-0.51,3.204e-05,0.0006087,0.00103796,0.7949782,0.06256356,3
ZNF318,20.4422,18.0966,1.13,0.112,0.05950884,0.43906777,0.14414618,0.28697196,0.06262991,0
PLEK,22.5238,36.5214,0.617,-0.542,1.555e-05,0.00027713,0.00851566,0.34107567,0.06275763,3
PDE3B,32.593,57.7793,0.564,-0.435,1.22e-06,0.00343582,0.00017882,0.41673557,0.06283917,3
RSAD1,7.3111,9.6434,0.758,-0.336,3.475e-05,0.02190545,0.00151474,0.385418,0.06306409,3
PLAGL2,8.0013,15.4601,0.518,-0.497,3e-08,0.00079287,3.248e-05,0.63152163,0.06310595,3
FUCA1,9.2997,14.2013,0.655,-0.414,0.00033497,0.00513023,0.02279558,0.63152163,0.06331816,3
CCDC12,12.131,10.1324,1.197,0.155,0.99045054,0.28722052,0.62288984,0.05510871,0.06337288,0
GPR27,3.2408,6.1698,0.525,-0.467,7.361e-05,0.00176024,0.00198035,0.85894553,0.06345255,3
SEC22B,0.83,1.2978,0.64,-0.387,0.09148876,0.00899623,0.19760333,0.5928362,0.06354126,1
AURKAIP1,18.1246,31.3365,0.578,-0.559,1.612e-05,0.00018407,0.00218649,0.63152163,0.06355823,3
YES1,1.5632,1.2471,1.253,0.17,0.0996875,0.24461003,0.06374906,0.816179,0.06365088,0
THOC1,3.4503,2.3303,1.481,0.349,0.00243937,0.01729898,0.03086381,0.73226424,0.06366035,3
ZMIZ1,26.0931,42.7817,0.61,-0.429,5.73e-06,0.003634,0.00127735,0.6120509,0.06410513,3
OPA1,5.2369,4.6408,1.128,0.145,0.08360328,0.31997479,0.01413255,0.75300697,0.06410863,1
POU2F2,15.606,23.8243,0.655,-0.382,7.55e-06,0.00921524,0.00054609,0.90209945,0.06414928,3
GRB2,10.1961,15.6709,0.651,-0.457,8.41e-05,0.00200861,0.0022227,0.67117575,0.06424881,3
DYSF,40.1037,78.1235,0.513,-0.531,9e-08,0.00035375,0.00039175,0.31330231,0.06426036,3
ZNRF2,2.1396,3.7902,0.565,-0.404,2.306e-05,0.00637346,0.00011099,0.73226424,0.06444845,3
ADAR,50.3535,76.6527,0.657,-0.47,5.252e-05,0.00148343,0.00096788,0.816179,0.06446094,3
GTF2I,5.4676,4.4624,1.225,0.182,0.06395428,0.21168036,0.03202739,0.71170446,0.06460136,1
DHX29,5.5465,4.5509,1.219,0.359,0.01352814,0.01434885,0.02828977,0.71170446,0.06470313,3
JARID2,14.068,20.5926,0.683,-0.526,5.8e-06,0.00038836,0.00027895,0.46626286,0.06483898,3
RAP2B,3.429,5.5112,0.622,-0.355,3.435e-05,0.01616134,0.00365737,0.55520734,0.06492389,3
LPCAT3,3.3688,5.3632,0.628,-0.354,0.00182507,0.01609819,0.05830339,0.1960065,0.06493636,2
CDC34,9.2004,17.0855,0.538,-0.54,9e-07,0.00029781,0.00051222,0.53681325,0.06495965,3
DENND3,28.4919,49.8882,0.571,-0.484,8.41e-05,0.00117067,0.00317206,0.44942115,0.06498537,3
NAGK,25.0101,43.2903,0.578,-0.54,7.8e-07,0.00027251,0.0003845,0.83750782,0.06501552,3
RASSF3,12.3917,20.1514,0.615,-0.457,0.00053163,0.00214715,0.001172,0.25018521,0.06514703,3
CAMTA2,27.0251,37.0518,0.729,-0.339,6.1e-06,0.02066905,0.00010237,0.77391449,0.06530253,3
OR7E5P,1.4708,0.525,2.802,0.5,0.00017535,0.00074452,0.03357838,0.85220308,0.06547015,3
GYPA,3.1059,2.0934,1.484,0.413,0.01403931,0.00492302,0.19251982,0.7949782,0.06556991,2
MEGF9,19.06,33.5825,0.568,-0.499,1.37e-06,0.00076279,2.979e-05,0.26208651,0.06578153,3
MZT2A,23.9609,44.593,0.537,-0.467,2.817e-05,0.00165631,0.00225946,0.12701804,0.0658463,3
RHOA,22.0622,38.4076,0.574,-0.519,7.782e-05,0.00051975,0.01554385,0.51871531,0.065949,3
LIMD1,13.5649,21.1945,0.64,-0.371,0.00105493,0.01193521,0.00204699,0.63152163,0.06598983,3
PACRGL,2.3948,1.4668,1.633,0.399,0.00069256,0.00660887,0.02221285,0.5928362,0.06602889,3
NSFL1C,11.2597,19.5338,0.576,-0.439,0.00045345,0.00307005,0.00997149,0.7949782,0.06612554,3
DDHD1,10.1131,13.2472,0.763,-0.21,0.00259414,0.15062615,0.00461811,0.6120509,0.06617627,2
TRIM21,8.6148,14.1127,0.61,-0.519,0.00016141,0.00049847,0.01025882,0.29995754,0.06628476,3
ZNF486,5.5905,3.2805,1.704,0.343,5.558e-05,0.01921852,0.00072913,0.94552275,0.06634412,3
BBX,5.3343,4.5545,1.171,0.189,0.32966483,0.1947113,0.61941725,0.10635126,0.06641506,0
PRCC,27.4926,38.2447,0.719,-0.44,4.906e-05,0.00279664,0.00045448,0.55520734,0.06643267,3
TAPT1,3.2021,2.7805,1.152,0.176,0.16300733,0.22801153,0.02900547,0.75300697,0.0665801,1
DRD3,0.8762,0.5052,1.734,0.431,0.00068678,0.00340976,0.00860806,0.92124413,0.06661644,3
TRAF3IP3,63.4024,82.7993,0.766,-0.332,0.00029931,0.02351504,0.00037738,0.31330231,0.06672598,3
SLC45A4,11.3248,21.5041,0.527,-0.486,2.447e-05,0.00119122,0.00395528,0.28697196,0.06674937,3
SLC7A7,62.51,131.9639,0.474,-0.504,0.0,0.00064974,8.19e-06,0.50091734,0.06681879,3
PMS2P3,1.5825,2.1188,0.747,-0.214,0.46205459,0.144849,0.15238005,0.78870606,0.06689637,0
CALM1,12.2868,12.0687,1.018,0.019,0.24782414,0.89395686,0.04078424,0.43290855,0.0669662,1
ELOF1,7.7752,13.2865,0.585,-0.428,0.00374181,0.00396718,0.0119743,0.38954944,0.067008,3
MID1IP1,3.1483,4.8388,0.651,-0.41,0.00200649,0.00556283,0.00233465,0.27434987,0.06708163,3
EXOSC3,5.7815,8.8006,0.657,-0.429,0.00089803,0.00372318,0.00395528,0.65123214,0.06737466,3
RUNDC1,3.3173,4.2999,0.771,-0.24,0.0013199,0.09999294,0.00506257,0.04769022,0.06740368,3
CEP120,4.8085,4.3524,1.105,0.112,0.68698623,0.44229345,0.32293952,0.44942115,0.06747695,0
GIGYF1,28.4936,35.332,0.806,-0.258,0.00366375,0.07782702,0.00616082,0.816179,0.06777858,2
SPINT1,5.3603,8.5594,0.626,-0.493,7.198e-05,0.00088961,0.01132336,0.83750782,0.06780894,3
TF,1.782,1.0124,1.76,0.387,0.00569603,0.00838234,0.03404964,0.816179,0.0680647,3
ZNF516,27.8401,41.2757,0.674,-0.376,6.436e-05,0.01069956,0.00048926,0.23864024,0.068348,3
STX3,3.6136,8.3033,0.435,-0.477,0.00499525,0.00151215,0.0286458,0.65123214,0.06838224,3
POLD4,22.6635,35.2856,0.642,-0.455,4.62e-06,0.00207229,0.00096788,0.94552275,0.06839567,3
TNFAIP8,8.2591,8.3305,0.991,-0.008,0.53107541,0.95619734,0.62637083,0.14231835,0.0684015,0
HPGD,1.6727,0.8579,1.95,0.277,0.00593893,0.05741976,0.0063038,0.8764643,0.06860556,2
EED,3.3247,2.8035,1.186,0.159,0.04148206,0.27775717,0.07916031,0.73226424,0.0687814,1
LHFPL2,1.25,2.1399,0.584,-0.442,0.0003861,0.00282663,0.02758833,0.01364188,0.06887646,4
AGAP6,2.098,3.0818,0.681,-0.188,0.33367525,0.20089917,0.70464479,0.04630271,0.06888798,1
SCO1,1.6074,1.3243,1.214,0.101,0.17034366,0.48790646,0.38138776,0.0300193,0.06914371,1
EBNA1BP2,6.3242,8.701,0.727,-0.26,0.04709057,0.07745976,0.34007749,0.21662026,0.06918309,1
SPOPL,5.3357,4.9986,1.067,0.028,0.56113873,0.84951349,0.33021168,0.57388325,0.06921463,0
NAPB,1.2458,0.9898,1.259,0.193,0.23605195,0.18626634,0.04352125,0.41331236,0.06941114,1
LSM10,4.8687,10.3637,0.47,-0.367,0.00146208,0.01305606,0.00618041,0.90991996,0.06946651,3
FBXW8,2.2098,3.2879,0.672,-0.209,0.03368736,0.15699363,0.2937611,0.07259907,0.0694724,1
RAD9A,8.2555,11.2269,0.735,-0.324,0.00011686,0.02710151,0.00054609,0.90209945,0.06960318,3
HOOK1,1.985,1.2819,1.548,0.404,0.0005264,0.0059522,0.00427506,0.65123214,0.06962001,3
DNAJB2,12.8252,17.9597,0.714,-0.356,8.598e-05,0.01518944,0.00167604,0.96729961,0.07001013,3
GYS1,11.9151,14.49,0.822,-0.266,0.00183404,0.06830835,0.00043798,0.73226424,0.07019686,2
NOSIP,91.2197,135.8586,0.671,-0.367,0.00071308,0.01281102,0.0007162,0.55520734,0.07046132,3
CCDC144B,1.3368,0.8794,1.52,0.281,0.00020163,0.05471673,0.00154059,0.7949782,0.07052504,2
TLR2,17.6575,30.8906,0.572,-0.477,6.26e-06,0.00127846,0.0011924,0.77391449,0.07075278,3
ZSCAN16,2.554,2.2669,1.127,0.121,0.10729515,0.40627069,0.02001687,0.816179,0.07078969,1
SNORD32A,5.3767,2.8078,1.915,0.253,0.67917508,0.08351621,0.95686013,0.10004523,0.07095248,0
SUPV3L1,5.6687,7.4515,0.761,-0.334,0.00051608,0.02279489,0.01116551,0.23864024,0.07102002,3
USP42,5.8853,7.9501,0.74,-0.302,0.00459784,0.04027603,0.04429445,0.98909653,0.07108071,3
ZBTB7B,27.8586,46.8705,0.594,-0.557,2.3e-07,0.00017648,0.00012773,0.88048261,0.07114554,3
ANP32A,19.5665,30.9981,0.631,-0.516,0.00050095,0.0005449,0.02338972,0.55520734,0.07124554,3
NAA50,3.2507,2.5219,1.289,0.244,0.0456318,0.09423657,0.02164652,0.53681325,0.07130353,2
PGAM4,1.5923,1.93,0.825,-0.064,0.0109065,0.66264082,0.15100195,0.27099189,0.07141817,1
DNAJC5,15.0625,26.818,0.562,-0.561,2.52e-06,0.00016992,0.00148929,0.57388325,0.07147232,3
RPS6KB2,27.5653,42.8259,0.644,-0.492,1.003e-05,0.00087507,0.00057676,0.7949782,0.07153366,3
MGST1,4.6452,5.1011,0.911,-0.06,0.77290229,0.68267067,0.07111267,0.28697196,0.07186913,0
PDPK1,10.0533,15.244,0.659,-0.37,0.00033157,0.0118988,0.0016481,0.90209945,0.07190218,3
ZNF3,4.4959,3.6109,1.245,0.241,0.21078836,0.09855692,0.20629456,0.63152163,0.07199016,0
RCBTB1,3.4352,4.5596,0.753,-0.195,0.79333453,0.18567067,0.43717058,0.69133573,0.07207601,0
SULF2,32.4692,57.3617,0.566,-0.525,4e-08,0.00038866,7.537e-05,0.50091734,0.07214823,3
G3BP1,10.0445,11.9024,0.844,-0.234,0.0533237,0.10987927,0.05450805,0.31330231,0.07220055,0
SNORA64,51.6717,7.6343,6.768,0.348,0.01284014,0.01792319,0.26219842,0.01498792,0.07222649,3
AKAP8,9.351,11.7892,0.793,-0.253,0.00015466,0.08356873,0.00042203,0.94552275,0.07234124,2
STAT4,18.727,14.7303,1.271,0.192,0.15206888,0.18695108,0.20629456,0.11983122,0.07274449,0
DUSP3,3.9227,9.2809,0.423,-0.451,1e-08,0.00236366,3.248e-05,0.90209945,0.07277851,3
SEC16A,37.2882,49.5531,0.752,-0.361,0.00011311,0.01376682,0.00088644,0.43290855,0.0729386,3
TSPAN17,3.9439,6.3556,0.621,-0.488,0.00043131,0.00102662,0.00401744,0.90209945,0.07295752,3
PPCDC,7.1183,11.7245,0.607,-0.381,0.00050593,0.00967574,0.00024395,0.44942115,0.07311973,3
WDFY4,35.5534,54.9146,0.647,-0.432,8.504e-05,0.00354452,0.00064298,0.6120509,0.07320741,3
FRYL,12.2777,12.4046,0.99,-0.014,0.485066,0.92501725,0.9529433,0.08827147,0.07339671,0
ACTR1B,21.2282,28.2202,0.752,-0.336,0.00691416,0.02220956,0.01512848,0.43290855,0.07352675,3
BRD1,37.8534,47.6658,0.794,-0.243,0.00021701,0.09675858,0.00072913,0.71170446,0.07354707,2
RRP7A,9.1578,12.262,0.747,-0.244,0.0244408,0.09748719,0.12137202,0.14231835,0.07363332,1
SLA,46.0226,69.6537,0.661,-0.422,0.00050594,0.00440701,0.00389399,0.7949782,0.07373775,3
GABRG2,1.9505,1.2369,1.577,0.459,0.00043131,0.00187502,0.01707771,0.83750782,0.0738199,3
ZFC3H1,48.8874,70.8681,0.69,-0.286,0.00058669,0.05036272,0.00100235,0.83750782,0.07390479,2
REXO1,36.8793,48.0782,0.767,-0.308,7.039e-05,0.03561852,0.00042993,1.0,0.07392929,3
TANC2,4.6315,4.1209,1.124,0.162,0.63685457,0.26480907,0.45181594,0.46626286,0.0740471,0
ZNF615,3.1143,2.7547,1.131,0.13,0.64256033,0.36987797,0.44592501,0.41673557,0.07404979,0
GK3P,1.7036,1.1091,1.536,0.318,0.00138559,0.03016286,0.01204907,0.3163469,0.07406973,3
TOM1,16.4988,24.2339,0.681,-0.433,8.888e-05,0.00333305,0.00063147,0.73226424,0.07412798,3
ACO1,2.9628,2.1844,1.356,0.308,0.00760687,0.03539272,0.01533439,0.73226424,0.07418579,3
BHLHE40,11.9901,15.6808,0.765,-0.286,0.00213592,0.05091091,0.00085568,0.71170446,0.07421986,2
MTMR12,11.3963,16.3651,0.696,-0.451,3.27e-06,0.00219804,0.00035675,0.55520734,0.07428462,3
GAPT,1.5175,2.7087,0.56,-0.401,0.00463625,0.00675964,0.2458246,0.65123214,0.07430383,2
EDEM3,7.8039,11.2868,0.691,-0.361,0.00183404,0.01413662,0.00136785,0.816179,0.07435797,3
PGRMC1,8.2076,13.7864,0.595,-0.373,1.47e-06,0.01107266,1.178e-05,0.11983122,0.07440035,3
RAB5A,5.2858,5.043,1.048,0.036,0.4272374,0.80355371,0.41151113,0.11983122,0.0745519,0
CCS,8.0477,11.8365,0.68,-0.388,0.00352601,0.00837341,0.01640479,0.83750782,0.07466613,3
USP12,1.8376,1.5146,1.213,0.159,0.74657655,0.27497376,0.13751372,0.67117575,0.0747006,0
SH3BP2,86.258,121.7902,0.708,-0.444,0.00020376,0.00260265,0.00050756,0.29995754,0.07478158,3
AKNA,113.6393,148.3854,0.766,-0.353,0.00012338,0.01598813,0.00049833,0.65123214,0.07478361,3
RFTN1,19.2679,24.1076,0.799,-0.282,0.00375826,0.05431406,0.00070348,0.08278988,0.07505545,2
TRIB2,8.3669,11.3583,0.737,-0.254,0.0012028,0.08203552,0.01265913,0.44942115,0.07505891,2
TMEM175,49.3771,61.3763,0.804,-0.256,0.00013598,0.07938977,0.0007162,0.63152163,0.07516634,2
RPN1,69.0469,111.8289,0.617,-0.587,3.7e-07,8.032e-05,0.00027895,0.90209945,0.07517583,3
PLEKHG3,24.0526,37.0388,0.649,-0.435,9.3e-07,0.00310942,0.00011099,0.83750782,0.07523182,3
PHOSPHO1,10.2132,19.3512,0.528,-0.424,0.00178503,0.00434777,0.00434176,0.816179,0.07532348,3
SLC23A3,1.3151,2.0008,0.657,-0.252,0.14508814,0.08548197,0.53990209,0.50263944,0.0754993,0
IGLL5,5.3315,10.0974,0.528,-0.275,0.53628036,0.06191528,0.27585951,0.64809989,0.07550746,0
FADS2,6.5078,9.0102,0.722,-0.228,0.0967138,0.12034592,0.12495892,0.816179,0.07560751,0
NSUN5,14.5824,18.8732,0.773,-0.357,0.00096896,0.01504375,0.02028135,0.1960065,0.07570727,3
BAZ1A,17.5298,23.7589,0.738,-0.456,0.00178503,0.00206956,0.01180886,0.75300697,0.07572566,3
MRRF,3.1599,2.6529,1.191,0.123,0.1200385,0.40032407,0.19420373,0.23056365,0.07593532,0
ARRB1,24.2699,37.6641,0.644,-0.49,2.2e-05,0.00091944,0.00198035,0.75300697,0.07599328,3
EPHA4,4.4904,3.2453,1.384,0.162,0.11141945,0.2651022,0.74923879,0.816179,0.07618437,0
CD14,82.9977,193.4665,0.429,-0.536,1.79e-06,0.00032349,0.00102763,0.85894553,0.07630142,3
IFT20,1.9833,1.4124,1.404,0.246,0.04678751,0.09172408,0.0799822,0.23864024,0.07649504,1
WDR36,3.801,3.3795,1.125,0.138,0.09148876,0.346032,0.04326616,0.44942115,0.07677264,1
HNRNPUL1,57.075,86.7702,0.658,-0.53,3.4e-06,0.00034505,0.00225946,0.75300697,0.07693271,3
SP140,9.8727,8.4751,1.165,0.229,0.04592047,0.11730383,0.03796594,0.63152163,0.07694895,2
TNFAIP6,1.3324,0.9417,1.415,0.176,0.00125478,0.22948795,0.06394374,0.08234679,0.07704053,1
SPNS1,8.1857,16.8292,0.486,-0.461,0.00137588,0.00189196,0.00809322,0.71170446,0.0770619,3
HSPA1A,2.6072,5.9699,0.437,-0.304,0.51630258,0.03869275,0.26322443,0.37395336,0.07709802,1
USP36,10.4736,13.0022,0.806,-0.261,0.00551299,0.07503234,0.00506257,0.7949782,0.07749566,2
BRD9,11.1502,13.5055,0.826,-0.235,0.01284014,0.10808964,0.00215082,0.85894553,0.07772519,2
PRR14,52.6111,70.6543,0.745,-0.397,0.00012884,0.00689945,0.00085568,0.57388325,0.07805838,3
EPOR,8.6752,7.6411,1.135,0.149,0.89736029,0.30495129,0.34507922,0.88048261,0.07808649,0
PMS2,2.9264,2.6786,1.092,0.1,0.47350005,0.49406781,0.3787248,0.4009022,0.07814772,0
ATP6V0E2,21.2997,28.0453,0.759,-0.271,0.00046724,0.06353589,0.00176248,0.44942115,0.07824231,2
BPI,21.8677,38.4354,0.569,-0.463,1.19e-06,0.00171624,0.00201342,0.34107567,0.07837704,3
CDCA4,2.2043,2.8659,0.769,-0.189,0.06510511,0.19792298,0.03048439,0.76704371,0.07845643,1
PSIP1,7.86,5.922,1.327,0.281,0.0178611,0.05448687,0.09452825,0.46626286,0.07852098,1
ECE1,29.3544,53.8293,0.545,-0.556,6.8e-07,0.00019233,8.017e-05,0.77391449,0.07852544,3
RPE,4.1972,3.0478,1.377,0.3,0.0162575,0.04010463,0.0202807,0.7243733,0.07861367,3
ZMAT1,2.7263,1.9102,1.427,0.384,0.00191848,0.00890718,0.11557341,0.7243733,0.07866621,2
TMED4,7.4996,6.7642,1.109,0.075,0.56833116,0.60482865,0.86334665,0.23864024,0.07872541,0
TAF1D,3.7412,3.2513,1.151,0.117,0.00760697,0.42472538,0.04377789,0.1129434,0.07919881,2
ZNF717,3.7729,2.4118,1.564,0.346,0.00702554,0.01826374,0.01248487,0.71170446,0.07964068,3
CDR2,1.591,3.2334,0.492,-0.313,0.81229763,0.03419656,0.80858785,0.82876858,0.07965886,1
SRSF8,4.369,3.497,1.249,0.147,0.71855346,0.31039176,0.71960709,0.385418,0.07971516,0
HMGN1,9.948,7.962,1.249,0.171,0.19614013,0.23943533,0.19932026,0.27434987,0.08004911,0
TMEM223,3.593,7.1798,0.5,-0.416,0.00019535,0.00506725,0.01356304,0.12701804,0.08031513,3
CD4,15.2395,21.4161,0.712,-0.385,5.686e-05,0.00872093,0.00115192,0.94552275,0.08037798,3
GOLGA4,9.5384,11.6161,0.821,-0.221,0.09724916,0.13104728,0.09550198,0.71170446,0.08048516,0
APC,6.1135,10.0682,0.607,-0.479,0.01182146,0.00138817,0.0644559,0.71170446,0.08069781,2
OPRK1,0.3955,0.2228,1.775,0.377,0.00173165,0.0102287,0.03109797,0.80911692,0.08073919,3
GCA,43.274,68.9892,0.627,-0.41,0.00388772,0.00567858,0.00780443,0.94552275,0.0808218,3
ACRBP,10.1364,19.1319,0.53,-0.409,1.6e-07,0.00554722,0.00050756,0.34107567,0.08097351,3
KCTD12,11.0443,20.0336,0.551,-0.466,5e-08,0.00158431,2.674e-05,0.73226424,0.08133419,3
MAD1L1,5.2314,8.4212,0.621,-0.362,0.04996683,0.01403214,0.35012509,0.56304472,0.08144392,2
GLRX5,11.9954,9.2788,1.293,0.065,0.00272717,0.65557579,0.01354303,0.60164357,0.08159752,2
