p_group_only,p_group_sex,p_full_adj,beta_group_full,top_cell_type,top_cell_p,survives,Gene
1.6676302665363586e-06,6.036430475459229e-05,0.03009346529051843,0.32097295588534686,Mast_cells,5.9037509995675686e-05,SI,OPRM1
0.003177412239392073,0.03706892904243645,0.7964139746772407,0.017687734254956032,Mast_cells,0.003625777488584807,NO,OPRK1
0.276547986297662,0.7125743445892498,0.9304048494086103,-0.005962925137748412,Mast_cells,0.0018464473358959425,NO,OPRD1
2.1028929121098316e-05,0.00022256612032142158,0.03884479848173352,0.1617767360926379,Mast_cells,0.0073641312144638585,SI,TACR1
0.00018301807627254198,0.0035262495512721616,0.08024877092370454,0.2015805506344658,Mast_cells,1.7128071770971998e-07,NO,TAC1
0.014383676406730187,0.009459389527078489,0.2497838719630282,0.22419589741003376,Mast_cells,0.0027775091850911794,NO,PENK
0.3603578269542933,0.5451262902971288,0.9167005123730915,0.016423380316961046,Mast_cells,0.024690446390575473,NO,POMC
1.594929007189954e-08,8.848015597449109e-06,0.011719186812717872,0.3696901688531841,Mast_cells,0.00016866561589848618,SI,COL9A1
1.5798158139476818e-06,9.594012140096817e-05,0.0280767694681426,0.22336076146494896,Mast_cells,0.005351396157233037,SI,PTN
