,COL9A1,BPIFB2,PTN,ST3GAL1
COL9A1,1.0,0.5069001725367406,0.509500274588535,-0.23546597360024876
BPIFB2,0.5069001725367406,0.9999999999999999,0.25149069688422443,-0.2139063043877896
PTN,0.509500274588535,0.25149069688422443,0.9999999999999997,-0.15370445641855787
ST3GAL1,-0.23546597360024876,-0.2139063043877896,-0.15370445641855787,0.9999999999999998
