Gene,p_group_only,p_group_sex,p_full_adj,beta_group_full,top_cell_type,top_cell_p,survives
OPRM1,0.0003407031607483888,0.003795153046948448,0.3977272901185785,0.48100355722145194,NK_cells,3.5721057831961224e-05,NO
OPRK1,0.010457262928669827,0.08073918915131256,0.68417267287717,-0.033183514714014595,Monocytes,0.00031168106280688736,NO
OPRD1,0.5076383200332234,0.9781271749019455,0.6978078158284652,-0.03989224104578395,Dendritic_cells,0.08851342125118934,NO
TACR1,5.4464310693422845e-05,0.00015821269573866841,0.06641800721498689,0.1835670006300959,Neutrophils,2.7071746431550665e-05,NO
TAC1,0.00148897196783865,0.014430610964446406,0.6151691038160256,0.110345762245094,T_cells_Treg,3.285314900617342e-06,NO
PENK,0.157164885406415,0.09033969696550982,0.7613885543573278,0.20815669604683498,NK_cells,0.007970645426414916,NO
POMC,0.8371543119836804,0.6235007440768009,0.7323783931911169,0.13843522801635577,Neutrophils,0.005794151413319362,NO
