p_group_only,p_group_sex,p_full_adj,beta_group_full,top_cell_type,top_cell_p,survives,Gene
0.021507170136054295,0.17906811214104573,0.8349303291977029,-0.042344142518671975,T_cells_CD8,0.0002463728995006743,NO,IRF4
0.01915460873005691,0.012262647443136685,0.0999592514954013,-0.286751774267469,Mast_cells,0.010029202946609467,NO,LTBP4
0.15383200249928802,0.1011499974007553,0.48138039034840063,0.08821726118679156,Dendritic_cells,0.01669363274119809,NO,NEO1
0.02691890345119333,0.006879349047169184,0.012222820753702904,-0.2121810568427739,Eosinophils,0.039467882145018514,SI,CTD-2574D22.3
0.0015652534325984277,0.1613156698059657,0.42326221048263035,0.162396472391628,NK_cells,0.003420932392579635,NO,DNTTIP1
0.21508423644276167,0.29735353441476386,0.07258172522835563,-0.3692499965453075,B_cells,0.0003631146724009238,NO,CCDC61
0.0020796006297654525,0.02354653578985897,0.05947273886409232,0.21301271977689434,Eosinophils,0.00902107826869934,NO,RPSAP36
2.463830783023446e-06,0.00020335464209394203,0.2744567894728558,-0.17336033607727214,NK_cells,2.6615629467970442e-05,NO,MARCKS
0.05928008074163317,0.3242777687343573,0.7991270192644362,-0.022946539555547135,Eosinophils,0.02423472402354829,NO,NKX2-2
0.006473729812195399,0.2719332784959932,0.2923613838183986,0.15352372697216699,B_cells,0.3301189045265964,NO,KLHL3
0.03384703853721909,0.3073285337371481,0.6803479167112381,-0.06714375927328536,B_cells,0.008738691009801661,NO,NOP56P3
0.0006553404822255477,0.023722833514480676,0.23506091811102056,0.138106430740686,Mast_cells,0.0006166039051243377,NO,EXTL1
6.576200569224514e-05,0.011072619321636204,0.06877979040796886,0.2474505758687718,Basophils,0.11159501179282186,NO,KRT8P39
0.0038521462994687435,0.04300876124366742,0.837551237563807,0.041596901271878706,T_cells_CD8,0.003013375281474884,NO,VHL
0.00031786425527276506,0.01959001094087989,0.2798813528083998,0.14214960797696752,Mast_cells,0.0019916991201976765,NO,DKK4
0.01337820134637115,0.08610200772585423,0.33264663160217733,-0.2774084216481609,NK_cells,0.11392482300275454,NO,RAVER1
0.1864265943947311,0.05633408929233112,0.2594166304646042,-0.20898966252035467,T_cells_CD8,0.0007559204295387333,NO,FAM3A
0.0020729208230177874,0.009142422975773296,0.31144068509917927,0.14922009772406503,T_cells_CD4,0.009733535369439172,NO,POLR3GP2
0.002399169928704513,0.003000920735101827,0.11228662041152036,-0.2833284227612428,T_cells_CD8,0.018013574159478837,NO,SGSH
4.890634643288816e-05,0.016003999603701677,0.787400128306253,0.022238341489129725,T_cells_Treg,0.00021984264287291014,NO,EDA2R
0.11493360009989956,0.3774664660884702,0.7392644278529715,0.06881280210702413,T_cells_CD8,0.009815188865686091,NO,GLI4
0.9877161888648661,0.990567673572553,0.6151473866992767,-0.12163269523179497,NK_cells,0.05331047746006247,NO,RP4-800G7.2
6.246091741251616e-08,1.2283443914553008e-07,1.0760489636970114e-05,0.5387898240653239,T_cells_Treg,0.026413913600269463,SI,BUB1
0.29996903073185643,0.1517392136246142,0.3525659329859659,-0.13963719262016988,Mast_cells,6.671828606608343e-05,NO,LECT2
