scenario,CA14_factor,pH_blood_ss,pH_peri_ss,delta_pH,pH_peri_min,ASIC1a_activated
CA14_normal,1.0,5.57993501737069,7.148266962650305,1.5683319452796152,7.14220304553711,False
CA14_50pct,0.5,5.584498687675575,7.138068800987464,1.5535701133118893,7.132869693955881,False
CA14_30pct,0.3,5.646810221792208,7.128090091811291,1.4812798700190832,7.123120549823993,False
CA14_0pct,0.0,7.399764291683329,7.349104009591843,-0.050660282091485875,7.349054416079645,False
