gene_id,log2FC,p_value,p_adj
8083260,-0.7862678885572132,1.039713737658613e-07,0.003461934832281884
7940226,-0.5163265711442788,1.725750838113431e-06,0.019154108552220973
7906443,-0.5012488676616922,2.9492516866426707e-06,0.02455030835253525
7988672,-0.5283511283582101,1.0432518201860274e-05,0.04792243475605542
