gene_id,log2FC,p_value,p_adj
8083260,-0.7862678885572132,1.039713737658613e-07,0.003461934832281884
7911199,-0.430255974129353,4.568960875908478e-07,0.00760663451425623
7940226,-0.5163265711442788,1.725750838113431e-06,0.019154108552220973
7906443,-0.5012488676616922,2.9492516866426707e-06,0.02455030835253525
8131666,-0.32825993432835876,3.9789325896575285e-06,0.02649730368756534
8090469,-0.45155044577114456,1.1513934530091099e-05,0.04792243475605542
7940669,-0.14850920796019906,1.0055755735450815e-05,0.04792243475605542
7988672,-0.5283511283582101,1.0432518201860274e-05,0.04792243475605542
8122807,-0.19975524975124337,3.6782284384599685e-05,0.09819881983431314
8122071,-0.25554417910447746,4.128850880500898e-05,0.09819881983431314
7904361,0.3236991223880601,3.1345516146652144e-05,0.09819881983431314
7895148,-0.4023860756218891,4.079032162286392e-05,0.09819881983431314
8099982,0.223946019900497,3.2862863435237965e-05,0.09819881983431314
8059770,-0.2050497233830848,3.588224714519601e-05,0.09819881983431314
8143387,0.2276629054726378,5.373577679566705e-05,0.11928267733102171
7901376,0.23731694527363167,5.95433147585613e-05,0.12391335946973847
7976515,0.28763332537313424,0.00011580489117644586,0.22682090950012457
8058350,-0.10472054726368096,0.00013105270798151957,0.24242566764781426
7999478,-0.08700614129353212,0.00014934934300260856,0.25232524486190977
8029671,0.19932753631840772,0.00015156034769613465,0.25232524486190977
8005659,0.12369013532338435,0.00017178146789103028,0.26683835167948455
8160756,0.19100632835821152,0.00020232976178531515,0.26683835167948455
7933228,0.21265299502487878,0.000208361027830333,0.26683835167948455
8176323,-0.2871774567164156,0.000197677328203696,0.26683835167948455
8130394,0.13770360796019965,0.00018556618526100046,0.26683835167948455
8165752,-0.2871774567164156,0.000197677328203696,0.26683835167948455
8169709,0.3682810686567173,0.00040418099058775155,0.2830057335223774
8020349,-0.4231611422885573,0.0003995658430071193,0.2830057335223774
7930398,0.22793454328357932,0.00032953232258030936,0.2830057335223774
7893526,-0.5610324796019892,0.0003202161198398129,0.2830057335223774
7917199,-0.1246889412935328,0.00036778058964692596,0.2830057335223774
8180323,0.2287403164179107,0.0003752950872025849,0.2830057335223774
7911218,0.33814653333333666,0.000403702537552196,0.2830057335223774
8047709,0.12463424079601904,0.00027994437275919,0.2830057335223774
7900555,-0.15030657512437617,0.00040267923925965134,0.2830057335223774
8136938,-0.3837136358208957,0.00039682631762385205,0.2830057335223774
8051993,-0.1851821751243774,0.0003333372148651607,0.2830057335223774
8143599,-0.3837136358208957,0.00039682631762385205,0.2830057335223774
8069508,-0.4787865094527364,0.00040797294678421823,0.2830057335223774
8069517,-0.3671273213930366,0.000337633097276905,0.2830057335223774
8023466,0.35559184676616873,0.0003990752972955546,0.2830057335223774
8047443,0.18097488557213914,0.0003440293584264748,0.2830057335223774
7892779,-0.5610324796019892,0.0003202161198398129,0.2830057335223774
8101828,0.33723600199005155,0.00023071417567099487,0.2830057335223774
7923875,-0.204150135323383,0.0003329461656198935,0.2830057335223774
8021081,0.3774037014925362,0.0003578037960378734,0.2830057335223774
7901336,0.18772545273631813,0.00028388541079211,0.2830057335223774
7997500,-0.18025405373134262,0.00036283424405295886,0.2830057335223774
7940622,0.10075278805970145,0.00042417014938339376,0.28823660130650736
8048995,-0.18415348855721447,0.0004423722526893836,0.28884943619384734
