ID_REF	log2FC	pval	adj.pval	FM_mean	HC_mean
7892501	-0.049899294140601125	0.34775713211979525	0.7842907903137918	4.045673582089552	4.1880516
7892502	-0.014583349054721584	0.47097669593643965	0.8349362720778924	5.46224552238806	5.5177401333333345
7892503	0.010622016920906141	0.7315736145994812	0.9263987539805068	4.587137462686567	4.553488133333334
7892504	0.0077033863611446485	0.37351684818164704	0.7964377042729429	9.298795074626865	9.249275733333333
7892505	0.030332948579799623	0.392394012053268	0.8029354272328522	3.574778059701492	3.5004022666666668
7892506	0.0010225745481231563	0.9344310940087349	0.984503644502141	6.954651940298508	6.949724266666665
7892507	-0.029925881670627152	0.09083081565668234	0.6488968336162648	6.266748208955225	6.3980972
7892508	0.006126049949783052	0.6793461346714554	0.9106611212214293	7.316261641791044	7.2852608000000005
7892509	-0.008341288365294908	0.38876757269863815	0.8017318505765894	8.93049358208955	8.982276933333335
7892510	-0.025435911091448826	0.20548245634622683	0.720702314474091	6.414835820895522	6.528937600000001
7892511	-0.020287648355762133	0.19767280332147835	0.7196814668541544	5.421253880597015	5.498027866666666
7892512	0.0034693022051124345	0.7584200479855568	0.9360818245206536	6.550204328358209	6.5344717333333335
7892513	0.011388209676873817	0.7424637655589246	0.9304381990319874	4.229642388059702	4.196386266666665
7892514	-0.003134312976236231	0.7344307539678725	0.9274531666734821	9.719750895522388	9.740890400000001
7892515	0.012121398935191596	0.20843900929358444	0.7224571958680808	8.953268656716416	8.8783592
7892516	-0.0012284710067600457	0.9691477512075223	0.9937491778650169	5.026257462686567	5.0305392
7892517	-0.016370055922585447	0.05707689177549748	0.6174699244779137	7.736715970149254	7.825003333333334
7892518	-0.05684447129691428	0.13478865918620464	0.6864131022770091	4.0086664179104465	4.1697672
7892519	-0.010307220439710107	0.601118903378425	0.8819324135620805	4.793457164179104	4.8278262666666665
7892520	0.0052186567034882	0.44164783922982875	0.8220401367336054	9.25704686567164	9.223621866666663
7892521	-0.004106364989044042	0.4544215045058002	0.8280453584813458	9.093231194029851	9.119150266666665
7892522	-0.004165617409961797	0.6992425632470308	0.9156308477685529	7.456581791044777	7.478142933333333
7892524	0.01094130347819755	0.39620817353570603	0.8042024079691233	6.7297620895522385	6.678917066666667
7892525	0.007210788005156843	0.4364776167087748	0.8203933801808942	7.2919228358208965	7.255567733333333
7892526	-0.04528160272254267	0.03627530724458082	0.6086750763563644	6.168515373134328	6.365195866666666
7892527	-0.018285584553464407	0.09654657268320367	0.657529970974372	7.836100597014925	7.936052133333333
7892528	-0.009584388444449976	0.8292442487374333	0.9569330335554972	2.594573582089552	2.6118677333333333
7892529	0.023618844772355985	0.19414331899044793	0.7188943938428631	6.222702985074627	6.1216583999999985
7892530	-0.01867268974722025	0.05326398973277073	0.6169568378590647	7.739299402985075	7.8401195999999995
7892531	-0.018899915858723748	0.03405707361023933	0.6062925260492757	7.913503582089552	8.017855866666666
