,B_cells,T_cells_CD4,T_cells_CD8,T_cells_Treg,NK_cells,Monocytes,Dendritic_cells,Neutrophils,Eosinophils,Basophils,Mast_cells,Platelets
GSM1644447,0.09074448012897125,0.10599323367984037,0.0922223855691379,0.07033024450817026,0.08773188251192224,0.11580352919029947,0.09061952191391388,0.09835057363781169,0.061878328347947195,0.05055469208686798,0.050910260208413806,0.08486086821670406
GSM1644448,0.08198795361286967,0.1011290914188061,0.09287985246409881,0.0686812367494055,0.09076620781196439,0.11309011025227207,0.09122757394580257,0.1009616864737795,0.05903030502368665,0.05838609666582793,0.05702691201953856,0.0848329735619483
GSM1644449,0.08638336213371729,0.1049343243900656,0.08479994517624403,0.07434946026770438,0.08118043746145844,0.11240005963832124,0.08924548844153966,0.09784087552894961,0.060128144530492394,0.060979545258183554,0.05967367739443794,0.08808467977888586
GSM1644450,0.0844357137963015,0.10624822453512237,0.08416706949409553,0.07065208740499143,0.07919398505260158,0.11615083787614529,0.09049937143612052,0.10523922434092646,0.06046527210816994,0.060525507312807036,0.056842926311422355,0.08557978033129597
GSM1644451,0.08116637801060515,0.10249285922871058,0.08550534340585131,0.0724769778092174,0.0846646589812751,0.11054340249460286,0.08977473519021524,0.09796014361694094,0.06166383977670509,0.0686004560263695,0.06316860245985384,0.08198260299965275
GSM1644452,0.08664586715936819,0.10330261443694065,0.08658336333795749,0.07150353157171456,0.08218412393397942,0.11027234323614422,0.08969571570035449,0.09631701175161225,0.05802868676524472,0.07051808729046191,0.06392103792121374,0.08102761689500844
GSM1644453,0.07875560578977216,0.10325819494647091,0.08954825652736731,0.07153359202038875,0.08597832813333423,0.1107111098395793,0.08969885989317304,0.09480626570826263,0.05849851093606647,0.07096049346234505,0.06459901481539253,0.08165176792784772
GSM1644454,0.08536390724525923,0.10563513611574159,0.08373134404710851,0.06761027016631038,0.07997019439776216,0.11488626617324114,0.08855012237358499,0.1027013884841576,0.059177653829269976,0.05931240497105323,0.05759089181948362,0.09547042037702776
GSM1644455,0.0864080730945924,0.10379182962568367,0.0842576181583868,0.06674251872570543,0.08144544366334891,0.11392969786641047,0.08926287151000493,0.1018139112655112,0.05883535469008198,0.06158288466062226,0.05889705773483794,0.09303273900481392
GSM1644456,0.08896037883418104,0.1089617573549809,0.08322770213258587,0.07330910030955765,0.08177200871771606,0.11392077574945281,0.08933454343067837,0.09802865956465692,0.05997371139954429,0.055004411982594044,0.05439130129117805,0.09311564923287392
GSM1644457,0.08832189052916703,0.10426004971958394,0.0886659298110857,0.07295318302460495,0.0874143283191387,0.11459587227342928,0.08673644889962319,0.10113752107246661,0.06125014497008782,0.05188021209409943,0.05177483278931216,0.09100958649740097
GSM1644458,0.09040417840424457,0.10805998566479191,0.08909869934549211,0.07699248286889375,0.08702492453976202,0.110352592583362,0.08927501892131062,0.09745986993438763,0.06127387707108404,0.05259972954011928,0.0520438284317326,0.08541481269481942
GSM1644459,0.08782127471227671,0.10585135371189099,0.08822491451963989,0.07388427184929514,0.08702562581297231,0.11743685493205938,0.08946164725950116,0.10239477706480238,0.059185776112045584,0.051838069190527344,0.052534354810484844,0.08434108002450441
GSM1644460,0.08726075310107659,0.10450961124053773,0.08777570740152309,0.07508128333698007,0.08354117492491282,0.11379513438109484,0.09200919636402019,0.09744077335312054,0.06071160649464512,0.06322345807873307,0.06083884830409368,0.07381245301926205
GSM1644461,0.07930835239576127,0.10400681174557723,0.08906868064245145,0.07105935266134279,0.08236929518574071,0.11168786545885787,0.08981864072241076,0.09829885303517336,0.06319044802062505,0.06772822248612244,0.06207099705116314,0.08139248059477394
GSM1644462,0.08638804185001564,0.10309283358842057,0.0896045824616948,0.0742589436293903,0.08489458940186367,0.10912100605679848,0.08891819195863157,0.09648153899438552,0.06330225702839394,0.06078960236749723,0.05890379889468335,0.0842446137682248
GSM1644463,0.08520557495182915,0.10360431549650378,0.08721252832200153,0.07102790485481325,0.08392878324303288,0.11211159732511625,0.09236974269355328,0.09900783017327357,0.0606349380100791,0.06563618088520957,0.06152420943057853,0.077736394614009
GSM1644464,0.08672849205988041,0.1044610335744694,0.08501553663431652,0.07077070641931349,0.0807438443018706,0.1105474017853413,0.09085711934499786,0.09436110560221522,0.05923328364494373,0.06725550446685252,0.0628044145310195,0.08722155763477947
GSM1644465,0.0825576379487189,0.10688818879450841,0.08741492689777636,0.07556709788954304,0.08426940536747678,0.11318752187034796,0.09142875911175695,0.09604160690075421,0.06401899397989717,0.060602979715430536,0.05811979981831377,0.0799030817054759
GSM1644466,0.07964760725131836,0.10294248440056783,0.08800772401796847,0.07205793338016526,0.08509738869300605,0.1127595826272418,0.09227982452927425,0.09868385295547857,0.05745138937968713,0.0633385875323382,0.06079012101176224,0.0869435042211919
GSM1644467,0.09098239736454411,0.10773402916615869,0.08434272349198961,0.0699431075711401,0.07728235879224499,0.11622549347094951,0.09438850959080909,0.10245871009510989,0.06072663446495252,0.05952554412442356,0.057745401698277056,0.07864509016940092
GSM1644468,0.08749217672963312,0.1063602081728848,0.08708552833705044,0.07024499398061748,0.084802764751831,0.11594296523592257,0.08887483352025138,0.10333632291154896,0.05966448029332771,0.05361580182548583,0.053231143342366304,0.08934878089908063
GSM1644469,0.08336266822425518,0.09984045578911221,0.08429070395959067,0.07008988810017285,0.08073914100690088,0.11397863808543178,0.08984870794443771,0.10197573079002265,0.06476074663595695,0.06137886096231974,0.06007762490466404,0.08965683359713526
GSM1644470,0.08778150572841564,0.10738629563916195,0.08482554119440887,0.07072571460795858,0.07888152196066432,0.11202976193247503,0.09373591322794723,0.09537702586853758,0.059805202683940996,0.06682033821982174,0.06219684057126242,0.08043433836540552
GSM1644471,0.08315157647853041,0.10510478840901484,0.08226482980912043,0.06889447755450899,0.07781695632941671,0.11633053120176412,0.0923450760823524,0.10750061603520651,0.05909807703233933,0.0631000164041736,0.06060234094965798,0.08379071371391472
GSM1644472,0.07977197725182948,0.11031615853396214,0.09019769924940363,0.07233872257160183,0.08596442922166564,0.11063878872883635,0.08987765734657215,0.09681075112566578,0.05666349033971109,0.0648808358426852,0.061031550778671985,0.08150793900939486
GSM1644473,0.0898268479454983,0.10417081387338498,0.09147839830303407,0.0720540552875658,0.08622943603170287,0.11240035614966247,0.08915780031141404,0.09962091062003411,0.06109601512908082,0.057190140646853356,0.05683716652345102,0.07993805917831807
GSM1644474,0.08048603493399165,0.10572218768097907,0.08566977744291619,0.06895210772658374,0.08189045564676942,0.11560373245220164,0.09186453875764035,0.10408119182374341,0.057544533449156686,0.06256604407086654,0.05957087236781702,0.08604852364733426
GSM1644475,0.07732814323493485,0.1061448895418755,0.08941364514825556,0.07134250870122551,0.08483600173447878,0.10904752482362384,0.09025804019123927,0.0964102710477488,0.0602877411603696,0.06995616812485117,0.06490416479886352,0.08007090149253362
GSM1644476,0.0868453069386643,0.10597539454497697,0.08987524931094584,0.0703389555145505,0.0840959778898947,0.11598132177410467,0.09320522998104702,0.1011314730080177,0.05977623152910576,0.058545904931314625,0.057443273630081414,0.07678568094729646
GSM1644477,0.09085230277836526,0.10552090718483148,0.08848889317278974,0.074070678395394,0.08383731274559647,0.11161707549730855,0.0896706949744395,0.09976742291861758,0.06263848951897712,0.05476476209433463,0.05369236207583889,0.08507909864350682
GSM1644478,0.08511890912042422,0.10474135399976148,0.08706956982685454,0.07123499424318125,0.08454400083371161,0.1133754798601529,0.09245634888425937,0.09932481624775663,0.06003943375750415,0.06379550336841536,0.06162587792738492,0.0766737119305935
GSM1644479,0.09071677192272108,0.10423754562203827,0.0889616788197594,0.07007304372318003,0.08591990470902912,0.11300205103198131,0.08798675903793834,0.10066253914145502,0.06528152979057598,0.05443062158942958,0.05476526905484837,0.08396228555704337
GSM1644480,0.0892713524205303,0.10596652266925387,0.0910539346026274,0.07384338666542907,0.0840491088438904,0.11035330387799977,0.0915661527989177,0.09195781734525084,0.06143132658137612,0.0612967024389996,0.05837621674029044,0.08083417501543455
GSM1644481,0.09130163356999874,0.10356277740836728,0.09134372502880377,0.07294787250273561,0.08714509799203636,0.1105815161012134,0.09149936853161478,0.0933650446984915,0.058660426215184594,0.06070085029250266,0.05702503230684322,0.08186665535220804
GSM1644482,0.08514946824500029,0.106094295890991,0.08907696000179344,0.07143313397529544,0.0852343542490876,0.11463113367998512,0.0896651057593841,0.10155337262668163,0.05558268110240736,0.05841558207691572,0.056422168654668724,0.08674174373778958
GSM1644483,0.08668723041286136,0.10780265184901204,0.08680339484650242,0.07334968567008518,0.08422567600623944,0.11282432442413314,0.09101141006544163,0.09723257243968352,0.05856982775990648,0.05992221515721792,0.05824258385448265,0.08332842751443417
GSM1644484,0.09045555305403638,0.10966847383658071,0.0883396995248086,0.07382077073365327,0.07958995722140379,0.11299203762993526,0.08911158448020846,0.09952193044233963,0.05964688238066355,0.05864341639244855,0.05712791437382175,0.08108177993009993
GSM1644485,0.08251803753303356,0.1101427400746499,0.08983581271667368,0.07824929260381853,0.08401939950029123,0.11140059234299422,0.08863786781571482,0.09608954802791357,0.06321752020600764,0.055041809437738155,0.05460144051929589,0.08624593922186864
GSM1644486,0.0845118891531009,0.10551693117414808,0.08997442384677896,0.07672917263266557,0.08469693566764652,0.11098167965441819,0.08885892771095567,0.09709371084797347,0.0622544657345513,0.057183260143405364,0.05689652920177815,0.08530207423257807
GSM1644487,0.08712037717127838,0.10356658633315936,0.08637941310061473,0.07311668790626773,0.08291890649990753,0.11261354942486794,0.09298506926834516,0.09778143151106633,0.059540273913920555,0.06532854235146907,0.06225836469688052,0.07639079782222274
GSM1644488,0.07975337823429297,0.10429158260780132,0.09190375251768527,0.07472010379596856,0.08695312297859341,0.11292847395720047,0.08821041212279042,0.10026394231877979,0.059297535810567514,0.06446478619919069,0.06090367311794536,0.07630923633918424
GSM1644489,0.09215024838144689,0.10599757808214218,0.09125682554486035,0.07486386362899405,0.08754550748845022,0.11240131622895728,0.09028012012012904,0.09691988059061779,0.056940105134220355,0.056292842741371696,0.05489892607339988,0.08045278598541049
GSM1644490,0.09032426565665826,0.10388861135351882,0.09116849970811697,0.06981743432135093,0.08720079798063686,0.11517903890130246,0.09085308231874342,0.09973408122864508,0.06086022417209973,0.054877339535011824,0.05488813628980578,0.08120848853410974
GSM1644491,0.08991908995707723,0.10449444659101187,0.08840217808787165,0.07151639418301006,0.08252148383863571,0.112230018186056,0.08901096698842008,0.0993435425368437,0.05991521603868209,0.06317719456505363,0.06011604238904018,0.0793534266382977
GSM1644492,0.08286114248810576,0.10884282319312628,0.08426101162421389,0.07118159277933889,0.08158521894676346,0.11728991873562442,0.08894923205957805,0.10324013872510766,0.056154100253371364,0.06065820866713222,0.05808059614092473,0.0868960163867132
GSM1644493,0.0838531103521722,0.10545925192814185,0.08435593944197436,0.07104558503807638,0.08287244756077104,0.11554893661191051,0.09030547369410916,0.10459489728980585,0.05392873006699235,0.06375620114779183,0.05962960862173557,0.08464981824651882
GSM1644494,0.0826440156998322,0.10665415956084957,0.07652563582672285,0.06943911529123845,0.06904558623439866,0.11919977823572987,0.09198800153376321,0.10835377001091188,0.06459786412203851,0.0615862330866106,0.05974525450958026,0.09022058588832381
GSM1644495,0.0864687323794648,0.1040850021174628,0.07697849370083239,0.06998647184497425,0.07100998870466034,0.1175342645962046,0.09150204397180008,0.10594445420423218,0.06180288460043445,0.06398014120426632,0.06104394323423424,0.08966357944143344
GSM1644496,0.08490185956319034,0.10378362516194378,0.08617626711480551,0.07271110079696631,0.08218221528894186,0.11256922302965237,0.09293350899643844,0.09889224570691407,0.05968788084626694,0.06470198962384538,0.06147920440326422,0.07998087946777074
GSM1644497,0.08913825087487558,0.10774237967941179,0.0976605245689596,0.08572215945097031,0.08649525504058264,0.11146588546806374,0.0893214631163921,0.0921962087390173,0.05760206735491936,0.05103811171740541,0.051960589149046894,0.0796571048403552
GSM1644498,0.0856574091722116,0.10647592779031996,0.08922838854910585,0.07367050376343295,0.08629660198401189,0.11501019294172933,0.09358866908041322,0.09757833615296865,0.060028776288599324,0.05760067121922217,0.05627679642055983,0.07858772663742523
GSM1644499,0.08390541055148536,0.10301308622115636,0.08757246197021552,0.06969688990057335,0.08423569720258985,0.11210931340290817,0.09035283839912919,0.09808944350659882,0.05883220774862759,0.06486388391440844,0.06141326906936423,0.08591549811294302
GSM1644500,0.08720076442537042,0.10357067334291163,0.08719590979081042,0.06785606209209438,0.08345827955797262,0.11499752515925724,0.09060262929800401,0.10202699372299648,0.06309963727631827,0.06116968136604441,0.059391306954942026,0.07943053701327796
GSM1644501,0.0910915868795108,0.10632865135010273,0.08684583682820188,0.0721736876724653,0.08224632730634938,0.11622856419789411,0.09207019794127425,0.10020962912554868,0.058352777240133574,0.05904357994884729,0.0575758183778807,0.0778333431317913
GSM1644502,0.08931092457747059,0.10175902344592075,0.08898108280930137,0.07154847661890607,0.08545277396097962,0.1133483506999616,0.09518556144062489,0.09534581403054282,0.05877131722004001,0.06498376447644717,0.06155474297475618,0.07375816774504901
GSM1644503,0.08904363555840056,0.10540761241435732,0.08698467650761571,0.07307154453071882,0.08469162492809326,0.11363081865998235,0.08948813538706658,0.09654670695140427,0.05989370010868484,0.05773742544952478,0.056383166079632854,0.08712095342451867
GSM1644504,0.08508627938428714,0.10944965187979809,0.08821182996250271,0.07241045271687759,0.08498234124369838,0.11589492921100222,0.08916323177598895,0.10150491533912138,0.057599332447120795,0.05215932408716641,0.052084848648132634,0.09145286330430387
GSM1644505,0.07722775587959009,0.10085418853152667,0.09201364944520748,0.07306723628581813,0.08692639986798532,0.11024996548073356,0.08833033168823458,0.09449572586785901,0.06428922997390145,0.06709941524327179,0.06226471604584897,0.08318138569002305
GSM1644506,0.07945081798971979,0.10662158843490373,0.08720269420561202,0.07476402343663208,0.0846155937268595,0.11564337016490564,0.09030427777037209,0.10040098219747716,0.05766221754121457,0.06325317332059946,0.060898962359684956,0.07918229885201894
GSM1644507,0.08188218659715941,0.10972701345437845,0.0863870833100624,0.0739335412480968,0.082076304576975,0.11949174370492847,0.0913473390090801,0.10280931333788448,0.06327470677165727,0.052487628541393,0.053703775586818485,0.08287936386156612
GSM1644508,0.07815454797144897,0.10824501930561815,0.0938944993340454,0.07209250463386213,0.08631382723027152,0.11292905988943468,0.09032389243887513,0.09494927379270751,0.060119160647449404,0.06206370051590385,0.05990685621765584,0.08100765802272747
GSM1644509,0.08826392765534712,0.10258418066098247,0.0900469512462456,0.07320443571953338,0.08796612595969765,0.11703201866359753,0.09289571841495975,0.10036408746318613,0.060976077227125225,0.05119909381062542,0.05211467652248065,0.08335270665621913
GSM1644510,0.0884618219861189,0.10682754514809999,0.08528464155076003,0.07183763321028264,0.08155637029421611,0.11060616202846775,0.08985012209850352,0.09287589727977745,0.05593376161666066,0.06900290507964141,0.06388829363379427,0.08387484607367725
GSM1644511,0.08862683428678224,0.10668941175975356,0.08859031584139444,0.07203337807825957,0.07981887856714745,0.11245376617354164,0.08920487647529483,0.09536738830821392,0.05964602487165273,0.06604914265600638,0.061581525039352325,0.07993845794260088
GSM1644512,0.08051099563815786,0.10274991717067904,0.09530837952626921,0.07067820867842836,0.09262131411557377,0.11576269865703726,0.0922587134450736,0.09815005098410352,0.05913591898693938,0.062796378129672,0.05998810058789479,0.07003932408017112
GSM1644513,0.09173358989908795,0.10247400265590476,0.08417327274423798,0.06994166410187037,0.08377351944903708,0.11234519056457702,0.09017512942468017,0.09723990806447252,0.05983966657948116,0.06112165494842607,0.05799101167586433,0.08919138989236053
GSM1644514,0.08311869368663587,0.10442062416460147,0.09004602534721091,0.06978760832291607,0.08456324430967659,0.11001031441341326,0.09113759705172239,0.0928768221586317,0.056588851099980915,0.07078107003774331,0.06572955891064998,0.08093959049681751
GSM1644515,0.08399882257171569,0.10846057652282738,0.08060051531244716,0.07214744740310258,0.07614595990517903,0.11841916178392665,0.09157464603344909,0.10358284794218588,0.06348769174471744,0.06349103021185405,0.06153944042870603,0.07655186013988899
GSM1644516,0.08557760700540218,0.10547699303150947,0.08433184311235177,0.0725429413336385,0.07916814682297874,0.11705426022699227,0.09211252680491068,0.1037797462098298,0.06352141836198756,0.06313637727491637,0.060752979681589235,0.07254516013389328
GSM1644517,0.07941821643722814,0.10293761068663597,0.08882288677682001,0.06974233017173852,0.0849074433330044,0.11607399123739788,0.09422342427723975,0.1012433784669125,0.05669384952506275,0.06543051397046683,0.06198827105452306,0.07851808406297009
