probe_id,gene,fm_mean,hc_mean,log2FC,p_value
KIT-opti_st,KIT,1.4036152806016906,1.0551651183433737,0.34845016225831693,0.037242544595979345
DRD2-opti_st,DRD2,1.3030313551040245,1.6192985120851178,-0.3162671569810933,0.09459935246991134
KITLG-opti_st,KIT,0.45387799981038907,0.7628234782916543,-0.30894547848126525,0.1051925051200414
KITLG-opti_at,KIT,0.4521912591788024,0.6920738119770407,-0.23988255279823828,0.11670603415252188
GATA2-rand_at,GATA2,2.0155042295767296,1.5742041121135533,0.4413001174631763,0.11670603415252188
KIT-opti_at,KIT,1.318650757088069,1.0472379931977631,0.2714127638903059,0.14268048429722283
KITLG-bgrd_st,KIT,0.45389074190788975,0.6483876521255496,-0.19449691021765986,0.14950986341759823
KIT-rand_st,KIT,2.156393490049115,1.7118682101238756,0.4445252799252395,0.20754803481570594
KIT-bgrd_at,KIT,0.5003672867827286,0.8420804974091022,-0.3417132106263736,0.2471599732119072
GATA2-bgrd_at,GATA2,5.681286053341258,5.495598269720055,0.1856877836212023,0.3413316805006916
KIT-bgrd_st,KIT,0.27839743039832093,0.45895193696823255,-0.18055450656991162,0.3543925402490955
KITLG-bgrd_at,KIT,0.5612068625464917,0.4925404076330266,0.06866645491346507,0.3680655063054846
KIT-rand_at,KIT,0.7505090254472288,0.9566835731747617,-0.20617454772753296,0.3960658207089378
GATA2-opti_st,GATA2,4.451546870543872,4.193946699440876,0.2576001711029958,0.3960658207089378
GATA2-opti_at,GATA2,2.2212787151636135,2.0660442125683978,0.15523450259521576,0.4557885270555013
KITLG-rand_at,KIT,1.2195911398804171,1.3289220596588536,-0.10933091977843645,0.5202691166630409
GATA2-rand_st,GATA2,3.1752250487868174,3.412858166596939,-0.23763311781012142,0.5891544654500582
DRD2-rand_st,DRD2,2.1573052235224184,2.3359951025425216,-0.17868987902010325,0.6619715128514689
DRD2-rand_at,DRD2,1.3948325704126678,1.2921577833061992,0.1026747871064686,0.6619715128514689
DRD2-opti_at,DRD2,1.8983023367043215,1.9162312961758257,-0.01792895947150419,0.7772615629718961
KITLG-rand_st,KIT,3.4816804064954767,3.4502355692093634,0.03144483728611336,0.8976851458261728
GATA2-bgrd_st,GATA2,8.468972366394834,8.462657231093436,0.00631513530139749,0.9794828848425403
