signature,fm_mean,hc_mean,diff,p_value,q_value
Mast_Cell_Signature,5.792581094527363,6.050363155555555,-0.257782061028192,1.535400310428226e-05,2.303100465642339e-05
Basophil_Signature,6.745930547263681,6.953803688888888,-0.20787314162520687,0.0038126258357613105,0.0038126258357613105
Shared_Mast_Baso_Signature,5.521961144278606,6.03727,-0.5153088557213943,6.722307592008951e-07,2.0166922776026855e-06
