probe_id,gene,mean_expr,std_dev,percentile_rank,status
8083260,CPA3,6.54719338028169,0.9160533374953999,57.512688830825596,PASS: Robust Signal
7940226,MS4A2,4.875928591549296,0.662753573898261,28.705288764753583,WARNING: Low Signal
7906443,FCER1A,7.031690985915493,0.6571971632336892,64.73556176232093,PASS: Robust Signal
8090469,GATA2,6.217040774647887,0.6279997210953829,52.26296663363066,PASS: Robust Signal
7988672,HDC,5.474774366197183,0.7314827054615761,39.478031053848696,PASS: Robust Signal
8130394,RGS17,4.689884295774648,0.2226773030560929,25.623930083791336,WARNING: Low Signal
7951703,DRD2,5.841229014084507,0.2133364898540644,45.87200048052377,PASS: Robust Signal
8166925,MAOA,4.560656690140844,0.3389227486260371,23.521638586058806,WARNING: Low Signal
8071289,COMT,8.107184154929579,0.20326932159514546,78.74583295792414,PASS: Robust Signal
7978801,MDGA2,4.130394647887324,0.18202724239953827,17.16070516863381,WARNING: Low Signal
