dataset,gene,category,fm_mean,hc_mean,log2FC,p_value,q_value,significant
GSE67311_WholeBlood,CPA3,Mast_Cell_Specific,6.13191104477612,6.9181789333333334,-0.7862678885572132,4.99693439586015e-07,4.497240956274134e-06,True
GSE67311_WholeBlood,TPSAB1,Mast_Cell_Specific,5.835401194029851,5.812935066666666,0.02246612736318454,0.8317173669153393,0.8798167133283222,False
GSE67311_WholeBlood,KIT,Mast_Cell_Specific,5.410431044776119,5.419975466666666,-0.009544421890547383,0.6009215783764661,0.7726134579125993,False
GSE67311_WholeBlood,GATA2,Basophil_Specific,5.978545820895523,6.430096266666667,-0.45155044577114456,1.715485152190054e-05,3.087873273942097e-05,True
GSE67311_WholeBlood,CLC,Basophil_Specific,10.155638805970149,10.332552133333335,-0.1769133273631862,0.37300251467582324,0.5595037720137349,False
GSE67311_WholeBlood,PRG2,Basophil_Specific,4.103607014925374,4.098762666666666,0.004844348258708386,0.8798167133283222,0.8798167133283222,False
GSE67311_WholeBlood,MS4A2,Shared_Mast_Baso,4.603220895522389,5.119547466666668,-0.5163265711442788,1.7071061273402947e-06,7.681977573031327e-06,True
GSE67311_WholeBlood,FCER1A,Shared_Mast_Baso,6.766946865671642,7.268195733333334,-0.5012488676616922,7.223012708003678e-06,2.166903812401103e-05,True
GSE67311_WholeBlood,HDC,Shared_Mast_Baso,5.19571567164179,5.7240668,-0.5283511283582101,1.4522624219908497e-05,3.087873273942097e-05,True
