chembl_id,pref_name,smiles,molecular_weight,affinity_type,d2_affinity_nm,d3_affinity_nm,selectivity_ratio,scaffold
CHEMBL1223616,,Clc1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1Cl,379.33,Ki,0.400,25.000,62.50,Other Aliphatic/Heterocyclic
CHEMBL1813590,,COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1.O=C(O)C(=O)O,409.53,Ki,0.220,13.100,59.55,Phenylpiperazine derivative
CHEMBL1169904,,COc1cccc2[nH]cc(CN3CCC(O)(c4ccc(Cl)cc4)CC3)c12,370.88,Ki,4.200,250.000,59.52,Other Aliphatic/Heterocyclic
CHEMBL1813593,,COc1cc(C)ccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1.O=C(O)C(=O)O,423.56,Ki,4.600,251.000,54.57,Phenylpiperazine derivative
CHEMBL1813591,,O=C(O)C(=O)O.O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2N1,441.55,Ki,0.260,13.500,51.92,Other Aliphatic/Heterocyclic
CHEMBL596527,,Cn1c(CN2CCC(c3nsc4ccccc34)CC2)nc2ccccc21,362.50,Ki,79.430,3981.070,50.12,Other Aliphatic/Heterocyclic
CHEMBL396561,,COc1ccc2c(c1)CCN(C)CCc1c([nH]c3ccccc13)C2,320.44,Ki,22.800,1135.000,49.78,Other Aliphatic/Heterocyclic
CHEMBL1223799,,Fc1ccccc1N1CCN(CCCCNc2ccc(-c3ccccc3)cn2)CC1,404.53,Ki,2.500,122.000,48.80,Phenylpiperazine derivative
CHEMBL1170094,,COc1ccc2[nH]cc(CN3CCC(O)(c4ccc(Cl)cc4)CC3)c2c1,370.88,Ki,4.200,204.000,48.57,Other Aliphatic/Heterocyclic
CHEMBL3234522,,CN1C(=O)c2ccccc2[S+]([O-])c2ccc(C(=O)NCCc3cccs3)cc21,410.52,Ki,190.000,9200.000,48.42,Other Aliphatic/Heterocyclic
