chembl_id,pref_name,smiles,molecular_weight,affinity_type,d2_affinity_nm,d3_affinity_nm,selectivity_ratio,scaffold
CHEMBL399396,,CCOC(=O)C1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,396.92,Ki,58.800,724.000,12.31,Other Aliphatic/Heterocyclic
CHEMBL398368,,CCCCCCOc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1,406.57,Ki,159.000,1950.000,12.26,Other Aliphatic/Heterocyclic
CHEMBL1223680,,Fc1ccccc1N1CCN(CCCCNc2ccccn2)CC1,328.43,Ki,11.000,133.000,12.09,Phenylpiperazine derivative
CHEMBL245614,,COc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1,336.44,Ki,177.000,2130.000,12.03,Other Aliphatic/Heterocyclic
CHEMBL3753266,,CN1CCc2ccccc2Cc2sc3ccccc3c2CC1,307.46,Ki,1.500,18.000,12.00,Other Aliphatic/Heterocyclic
CHEMBL12713,SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,440.95,Ki,0.450,5.400,12.00,Other Aliphatic/Heterocyclic
CHEMBL1223681,,Cc1ccccc1N1CCN(CCCCNc2ccccn2)CC1,324.47,Ki,32.000,383.000,11.97,Phenylpiperazine derivative
CHEMBL389356,,CN1CCCc2cc(O)ccc2Cc2ccccc2CC1,281.40,Ki,518.000,6122.000,11.82,Other Aliphatic/Heterocyclic
CHEMBL561763,,CSc1ccccc1N1CCN(CCCNC(=O)c2cnn3ccccc23)CC1,409.56,Ki,2.200,26.000,11.82,Phenylpiperazine derivative
CHEMBL5274672,,Cn1c(CCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc(-c2ccccc2)c1C(=O)NC(C)(C)C,528.53,IC50,162.180,1905.460,11.75,Other Aliphatic/Heterocyclic
CHEMBL3234539,,CCN1C(=O)c2ccccc2[S@+]([O-])c2ccc(C(=O)N[C@H](C)c3ccc4ccccc4c3)cc21,468.58,Ki,290.000,3400.000,11.72,Other Aliphatic/Heterocyclic
CHEMBL1223617,,FC(F)(F)c1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1,378.44,Ki,17.000,198.000,11.65,Other Aliphatic/Heterocyclic
CHEMBL1803049,,CCCCn1cc(CCCOc2ccc(CN3CCN(c4ccccc4OC)CC3)cc2OC)nn1,493.65,Ki,53.000,610.000,11.51,Other Aliphatic/Heterocyclic
CHEMBL238717,,O=c1c2ccccc2ncn1CCCCN1CCN(c2ccccc2)CC1,362.48,Ki,46.000,527.000,11.46,Phenylpiperazine derivative
CHEMBL1642118,,CC1CC(=O)c2ccc(N3CCN(C)CC3)cc2N1S(=O)(=O)c1ccc2ccccc2c1,449.58,IC50,136.000,1520.000,11.18,Other Aliphatic/Heterocyclic
CHEMBL109912,,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)C[C@@H]2C)cc1Cl,401.94,Ki,23.500,261.500,11.13,Other Aliphatic/Heterocyclic
CHEMBL4079093,,Cl.O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)Oc1ccc(-c2ccccc2)cc1,498.45,EC50,135.000,1500.000,11.11,Phenylpiperazine derivative
CHEMBL5287555,,CN(C[C@@H]1C[C@H]1CCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,443.55,Ki,9.560,106.000,11.09,Other Aliphatic/Heterocyclic
CHEMBL354180,,CNc1cc(OC)c(C(=O)NC[C@@H]2CN(Cc3ccccc3)C[C@H]2C)cc1Cl,401.94,Ki,19.000,210.000,11.05,Other Aliphatic/Heterocyclic
CHEMBL4064186,,O=C1CCc2ccc(OCCCCN3CCN(c4ccc(O)c5ncccc45)CC3)cc2N1,446.55,Ki,2.450,27.000,11.02,Other Aliphatic/Heterocyclic
CHEMBL1803027,,COc1cc(CN2CCN(c3ccccc3OC)CC2)ccc1OCc1cn(CCOCCOCCn2cc(COc3ccc(CN4CCN(c5ccccc5OC)CC4)cc3OC)nn2)nn1,933.12,Ki,3.350,36.000,10.75,Other Aliphatic/Heterocyclic
CHEMBL297302,BENPERIDOL,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,381.45,Ki,0.027,0.290,10.74,Other Aliphatic/Heterocyclic
CHEMBL1087300,,CN1CCc2ccccc2Cc2c[nH]c3cccc(c23)CC1,290.41,Ki,4.000,42.900,10.72,Other Aliphatic/Heterocyclic
CHEMBL2393244,,Cl.Fc1cccc(Nc2nc(Cc3ccccc3)nc3c2CCNCC3)c1,348.43,IC50,63.300,674.300,10.65,Other Aliphatic/Heterocyclic
CHEMBL382010,,CN1CCc2ccccc2Cc2cc(O)ccc2CC1,267.37,Ki,27.950,296.000,10.59,Other Aliphatic/Heterocyclic
CHEMBL4463034,,COc1ccc2[nH]cc(C3=CCN(Cc4cc(=O)[nH]c5ccccc45)CC3)c2c1,385.47,Ki,58.000,614.000,10.59,Other Aliphatic/Heterocyclic
CHEMBL4102620,,COc1cc(OC(=O)NCCCCN2CCN(c3ccccc3OC)CC2)ccc1-c1cccc(C(N)=O)c1,532.64,EC50,10.400,109.650,10.54,Other Aliphatic/Heterocyclic
CHEMBL397770,,OC1(c2cccc(Cl)c2Cl)CCN(Cc2c[nH]c3ccccc23)CC1,375.30,Ki,26.100,273.000,10.46,Other Aliphatic/Heterocyclic
CHEMBL4862770,,COc1ccc(Cl)cc1[C@H]1C[C@@H]1CNCCCCOc1ccc2c(c1)NC(=O)CC2,428.96,EC50,6.454,67.500,10.46,Other Aliphatic/Heterocyclic
CHEMBL393027,,OC1(c2ccc(Cl)cc2)CCCN(Cc2c[nH]c3ccccc23)CC1,354.88,Ki,201.000,2100.000,10.45,Other Aliphatic/Heterocyclic
CHEMBL389559,,CN1CCCc2ccccc2Cc2ccc(O)cc2CCC1,295.43,Ki,382.000,3964.000,10.38,Other Aliphatic/Heterocyclic
CHEMBL184049,,COc1ccc2c(c1)OCCN(C)CCc1ccccc1C2,297.40,Ki,158.000,1601.000,10.13,Other Aliphatic/Heterocyclic
CHEMBL208274,,COc1ccccc1N1CCN(Cc2cn3cc(C)cc(-c4ccccc4)c3n2)CC1,412.54,Ki,38.500,390.000,10.13,Phenylpiperazine derivative
CHEMBL98965,,CCc1c(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)sc2ccc(Cl)cc12,487.05,Ki,1000.000,10000.000,10.00,Other Aliphatic/Heterocyclic
